评价类型,消费者,rating,review_text,store_name,review_date,评价展示平台,商家回应,回应&盖楼内容,store_id
打卡评价,小心,5.0,菜品的份量多，这家餐厅的菜很下饭，来吃了两次了。,江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
打卡评价,在森林公园拉二胡的白灼虾,5.0,这家餐厅超级适合聚餐。 很好吃,江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
打卡评价,轻盈清新嘶嘶蚊,5.0,"[米饭]口味：可以
[薄荷]环境：可以
[服务铃]服务：可以
[糖果]性价比：可以老",江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
打卡评价,匿名用户,5.0,非常好吃的江西菜碗灌汤很正宗,江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
打卡评价,GJW0706,5.0,"可以
[服务铃]服务：好
[米饭]口味：味道正宗
[糖果]性价比：合理
[薄荷]环境：很整洁",江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
门店评价,出色清澈嘿嘿蜻,5.0,"[米饭]口味：喜欢吃辣的可以来，经常来吃
[薄荷]环境：很干净，会即使打扫
[服务铃]服务：服务人员也多
[糖果]性价比：菜真的挺多的",江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
门店评价,大家,5.0,这家店的江西菜超级正宗 我特别喜欢吃他家菜 感觉会上瘾 服务也特别好 环境也不错,江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
打卡评价,匿名用户,5.0,"[米饭]口味：好能在上海吃饭家长味
[薄荷]环境：好温馨
[服务铃]服务：在这里遇到老乡服务也特别不错  特别棒点个赞
[糖果]性价比：可以",江小肴·鲜辣江西菜（华漕店）,2025-05-28,点评,否,,
打卡评价,璀璨柔美哗啦熊,5.0,"[米饭]口味：好
[薄荷]环境：可以
[服务铃]服务：好
[糖果]性价比：可以",江小肴·鲜辣江西菜（华漕店）,2025-05-27,点评,否,,
打卡评价,龙猫,5.0,家门口常光顾的店 超好吃,江小肴·鲜辣江西菜（华漕店）,2025-05-27,点评,否,,
团购评价,111吧,5.0,这家店的东西超级好吃。,江小肴·鲜辣江西菜（华漕店）,2025-05-27,点评,否,,
团购评价,111吧,5.0,"[米饭]口味：可以
[薄荷]环境：可以
[服务铃]服务：好
[糖果]性价比：可以这家店的东西超级好吃。这家餐厅的菜超级下饭。",江小肴·鲜辣江西菜（华漕店）,2025-05-27,点评,否,,
门店评价,诚信真心哇呀鹰,5.0,非常地道的江西菜 第三次来了。特别推荐。,江小肴·鲜辣江西菜（华漕店）,2025-05-27,点评,否,,
团购评价,titiauthur,5.0,家附近，口味很不错，价格也比较实惠,江小肴·鲜辣江西菜（华漕店）,2025-05-27,点评,否,,
其他评价,奇迹五月,5.0,来这家江西小炒彻底被征服了！点的萍乡小炒肉和南昌炒粉，小炒肉香辣过瘾，五花肉焦香不腻，辣椒鲜辣入味；炒粉镬气十足，根根分明，豆芽、肉丝搭配得恰到好处。店内烟火气满满，服务也超热情。嗜辣星人狂喜，吃完直接列入心中宝藏餐厅，必须N刷！,江小肴·鲜辣江西菜（华漕店）,2025-05-26,点评,否,,
团购评价,CC,5.0,"[米饭]口味：蛮好的
[薄荷]环境：很干净
[服务铃]服务：还不错",江小肴·鲜辣江西菜（华漕店）,2025-05-26,点评,否,,
打卡评价,阳,4.5,"[米饭]口味：「浔城三杯鸡」鸡肉很嫩 一口爆汁 能吃出有酒的味道 咸甜口 根据我本人的口味有一点点咸了 不辣 挺好吃 推荐
「黄豆凤爪」黄豆和鸡爪都是糯叽叽的 辣辣的不过能接受 爱吃辣的可以来尝尝
「江西炒米粉」很有锅气 就是太辣了我可能接受不了
「玉米排骨汤」也可以
「江西红烧肉」这个可以蛮好吃的
[薄荷]环境：中规中矩有点杂乱的感觉
[服务铃]服务：随叫随到可以
[糖果]性价比：性价比高 菜品都很便宜",江小肴·鲜辣江西菜（华漕店）,2025-05-26,点评,否,,
打卡评价,芝麻油干煸樱桃,5.0,"[米饭]口味还不错，
[薄荷]环境：很优雅
[服务铃]服务：很Ok
[糖果]性价比：超级高！",江小肴·鲜辣江西菜（华漕店）,2025-05-26,点评,否,,
打卡评价,义忠坚强的小蕾,5.0,"[米饭]口味：好吃
[薄荷]环境：可以
[服务铃]服务：非常热情
[糖果]性价比：可以这家餐厅的价格实惠。「黄豆凤爪」",江小肴·鲜辣江西菜（华漕店）,2025-05-26,点评,否,,
打卡评价,ALu,5.0,"[米饭]口味：好
[薄荷]环境：好
[服务铃]服务：非常好
[糖果]性价比：可以",江小肴·鲜辣江西菜（华漕店）,2025-05-26,点评,否,,
门店评价,铁锅炖自己,5.0,老顾客了，一直来吃，味道可以说相当正宗了，最爱他们家的炒粉和瓦罐汤,江小肴·鲜辣江西菜（华漕店）,2025-05-26,点评,否,,
打卡评价,帅气纯洁呼嘘猪,4.5,"[米饭]口味：很好 比较符合江西人的口味
[薄荷]环境：很好 炒的菜有锅气
[服务铃]服务： 小姐姐都比较热情
[糖果]性价比：值得来打卡喔。会经常来吃的这家餐厅的菜超级下饭。这家店的食物整体很合我口味。萍乡小炒肉辣度刚好适中。江西红烧肉酱汁超级浓郁。",江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
打卡评价,我是你谁昂,5.0,"[米饭]口味：好吃 口味比较正宗。
[服务铃]服务：服务态度很好 比较热情
[薄荷]环境：很好  很温馨
[糖果]性价比： 很好哦会经常过来吃",江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
打卡评价,匿名用户,5.0,菜品很好、服务也好、环境优美！,江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
门店评价,Leyli,5.0,食物整体很合我口味。，环境很好，店员很热心，菜品也很好吃，带着小朋友来吃也很合适 三杯鸡强推！小朋友都很喜欢！,江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
打卡评价,March,5.0,"[薄荷]环境：环境很不错 一进店的感觉就是很宽敞

[米饭]口味：菜品总体都不错 感觉对于我来说还阔以 不是很辣 下次打算尝试一下江西辣",江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
门店评价,清茶淡酒,5.0,菜品不错，味道很好吃，适合一家人来吃饭，已经来吃了好多次了，真心不错。,江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
门店评价,啷咯喱咯啷,5.0,味道还不错 值得一来,江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
团购评价,小大熊猫,5.0,东西好吃，味道正宗。价格也不比较实惠，第二次来了。,江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
门店评价,深灰色耳朵的黑色鹈鹕,5.0,"[米饭]口味：很好
[薄荷]环境：很好
[服务铃]服务：很好
[糖果]性价比：很好",江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
门店评价,轻柔出色咕哝熊,5.0,超级适合约会。餐厅的性价比很高。餐厅的菜品口味超级好吃。餐厅的食材超级新鲜。萍乡小炒肉非常美味。,江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
打卡评价,匿名用户,5.0,"[米饭]口味：完全耐S
[薄荷]环境：简单舒服，温暖
[服务铃]服务：服务员很耐心的帮我打包菜品
[糖果]性价比：适合基层的我们，还有免费的小菜",江小肴·鲜辣江西菜（华漕店）,2025-05-25,点评,否,,
门店评价,lilypie1987,5.0,口味比较正宗，有家乡的味道，还可以再来，好停车，服务也好。,江小肴·鲜辣江西菜（华漕店）,2025-05-24,点评,否,,
门店评价,匿名用户,5.0,"[米饭]口味：好吃
[薄荷]环境：温馨
[服务铃]服务：服务员很热情",江小肴·鲜辣江西菜（华漕店）,2025-05-24,点评,否,,
门店评价,在阆中古城沉思的鱼头,5.0,环境非常干净   分量也很足  口味也很好,江小肴·鲜辣江西菜（华漕店）,2025-05-24,点评,否,,
门店评价,泡泡鱼,5.0,味道不错，现炒热菜，江西菜，家乡的味道,江小肴·鲜辣江西菜（华漕店）,2025-05-24,点评,否,,
门店评价,Iam_Catherine,5.0,家门口的江西小炒，所有的菜都非常下饭，价格也很实惠，「皮蛋肉饼汤」「大碗藕条」「渣渣牛肉萝卜丝」「黄豆凤爪」能吃辣的可以点江西辣，超过瘾！,江小肴·鲜辣江西菜（华漕店）,2025-05-24,点评,否,,
门店评价,_Wu_,5.0,口味好吃，环境整洁，服务到位，十分温馨[点赞],江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
门店评价,白色耳朵的浅粉色兔子,5.0,这家餐厅的菜很下饭。口味非常正宗。江西红烧肉非常美味不腻。萍乡小炒肉非常美味。,江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
门店评价,McDonalds,5.0,餐厅的菜品性价比超高。餐厅的菜品口味很好。干烧黄鱼口感非常鲜美。鲜辣过瘾的赣味盛宴，菜品道地江西风味，辣度分档贴心，环境国潮风雅致。服务员热情周到，是会反复刷的宝藏辣馆！,江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
门店评价,匿名用户,5.0,可以味道不错哦服务也是可以的我吃了好几碗饭菜好下饭,江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
打卡评价,辣味沙茶酱,5.0,不是特别辣，刚刚好适合，味道很不错，香！「萍乡小炒肉」「皮蛋肉饼汤」很推荐汤哦,江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
打卡评价,封心锁情,4.5,很好吃，经常来，不错的菜品,江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
门店评价,半半青柠,5.0,上菜速度奇快无比，活色生香  炒牛肉 还有皮蛋那个属实很辣辣辣辣超级入味，大块的牛肉、鸡蛋，重油重辣。,江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
打卡评价,匿名用户,5.0,"[米饭]口味：适合我的味蕾，毕竟我也是能吃辣的
[服务铃]服务：小姐姐很服务很好
[薄荷]环境：很温馨
[糖果]性价比：可以",江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
打卡评价,暗蓝色眼睛的薰衣草色猴子,4.5,味道很好吃,江小肴·鲜辣江西菜（华漕店）,2025-05-23,点评,否,,
门店评价,匿名用户,5.0,店内环境很好，老板娘很热情,江小肴·鲜辣江西菜（华漕店）,2025-05-21,点评,否,,
打卡评价,Antony_3790,5.0,味道好极了,江小肴·鲜辣江西菜（华漕店）,2025-05-17,点评,否,,
