日期,美团门店ID,门店名称,城市,曝光次数,曝光次数-搜索,曝光次数-美食频道,曝光次数-首页信息流,曝光人数,曝光人数-搜索,曝光人数-美食频道,曝光人数-首页信息流,访问次数,访问次数-搜索,访问次数-美食频道,访问次数-首页信息流,访问人数,访问人数-搜索,访问人数-美食频道,访问人数-首页信息流,曝光-访问转化率,曝光-访问转化率-搜索,曝光-访问转化率-美食频道,曝光-访问转化率-首页信息流,购买人数,购买人数-搜索,购买人数-美食频道,购买人数-首页信息流,访问-购买转化率,访问-购买转化率-搜索,访问-购买转化率-美食频道,访问-购买转化率-首页信息流,互动人数,新增收藏人数,累计收藏人数,打卡人数,查看优惠人数,查看菜品人数,查看评价人数,查看地址/电话人数,成交金额(优惠前),成交金额(优惠前)-套餐,成交金额(优惠前)-代金券,成交金额(优惠前)-买单,成交金额(优惠前)-秒提,成交订单数,成交订单数-套餐,成交订单数-代金券,成交订单数-买单,成交订单数-秒提,成交券数-套餐,成交券数-代金券,成交人数,成交人数-套餐,成交人数-代金券,成交人数-买单,成交人数-秒提,成交券单价(优惠前)-套餐,成交券单价(优惠前)-代金券,单均价(优惠前),单均价(优惠前)-套餐,单均价(优惠前)-代金券,单均价(优惠前)-买单,单均价(优惠前)-秒提,成交客单价(优惠前),成交金额(优惠后),成交金额(优惠后)-套餐,成交金额(优惠后)-代金券,成交金额(优惠后)-买单,成交金额(优惠后)-秒提,成交券单价(优惠后)-套餐,成交券单价(优惠后)-代金券,单均价(优惠后),单均价(优惠后)-套餐,单均价(优惠后)-代金券,单均价(优惠后)-买单,单均价(优惠后)-秒提,成交客单价(优惠后),用户实付金额,用户实付金额-套餐,用户实付金额-代金券,用户实付金额-买单,用户实付金额-秒提,平台补贴金额,平台补贴金额-套餐,平台补贴金额-代金券,平台补贴金额-买单,平台补贴金额-秒提,团购核销金额-买单,团购核销金额-秒提,支付金额-买单,在线点单金额-秒提,团购核销券数-买单,团购核销券数-秒提,团购核销金额占比-买单,团购核销金额占比-秒提,消费金额,核销金额-套餐,核销金额-代金券,消费笔数,核销券数-套餐,核销券数-代金券,消费人数,核销人数-套餐,核销人数-代金券,消费笔单价,核销券单价-套餐,核销券单价-代金券,退款金额,退款金额-套餐,退款金额-代金券,退款金额-买单,退款金额-秒提,退款券数-套餐,退款券数-代金券,撤销核销金额-套餐,撤销核销金额-代金券,撤销核销券数-套餐,撤销核销券数-代金券,退款订单数,退款订单数-买单,退款订单数-秒提,新客购买人数,老客购买人数,新客成交金额(优惠后),老客成交金额(优惠后),新客成交客单价(优惠后),老客成交客单价(优惠后),扫码人数,扫码打卡人数,扫码收藏人数,扫码评价人数,商品曝光次数-搜索,商品曝光次数-美食频道,商品曝光次数-首页信息流,商品曝光次数-特价团,商品曝光次数-直播,商品曝光次数-团购频道,商品曝光人数-搜索,商品曝光人数-美食频道,商品曝光人数-首页信息流,商品曝光人数-特价团,商品曝光人数-直播,商品曝光人数-团购频道,商品访问次数,商品访问次数-搜索,商品访问次数-美食频道,商品访问次数-首页信息流,商品访问次数-特价团,商品访问次数-美团联盟,商品访问次数-直播,商品访问次数-团购频道,商品访问人数,商品访问人数-搜索,商品访问人数-美食频道,商品访问人数-首页信息流,商品访问人数-特价团,商品访问人数-美团联盟,商品访问人数-直播,商品访问人数-团购频道,商品曝光-访问转化率-搜索,商品曝光-访问转化率-美食频道,商品曝光-访问转化率-首页信息流,商品曝光-访问转化率-特价团,商品曝光-访问转化率-直播,商品曝光-访问转化率-团购频道,商品购买人数,商品购买人数-搜索,商品购买人数-美食频道,商品购买人数-首页信息流,商品购买人数-特价团,商品购买人数-美团联盟,商品购买人数-直播,商品购买人数-团购频道,商品成交券数,商品成交券数-搜索,商品成交券数-美食频道,商品成交券数-首页信息流,商品成交券数-特价团,商品成交券数-美团联盟,商品成交券数-直播,商品成交券数-团购频道,商品访问-购买转化率,商品访问-购买转化率-搜索,商品访问-购买转化率-美食频道,商品访问-购买转化率-首页信息流,商品访问-购买转化率-特价团,商品访问-购买转化率-美团联盟,商品访问-购买转化率-直播,商品访问-购买转化率-团购频道,商品成交金额(优惠前),商品成交金额(优惠后),商品成交金额(优惠后)-搜索,商品成交金额(优惠后)-美食频道,商品成交金额(优惠后)-首页信息流,商品成交金额(优惠后)-特价团,商品成交金额(优惠后)-美团联盟,商品成交金额(优惠后)-直播,商品成交金额(优惠后)-团购频道,商品平台补贴金额,商品新客购买人数占比,商品核销券数,商品核销券数-搜索,商品核销券数-美食频道,商品核销券数-首页信息流,商品核销券数-特价团,商品核销券数-美团联盟,商品核销券数-直播,商品核销券数-团购频道,商品核销人数,商品核销金额,商品核销金额-搜索,商品核销金额-美食频道,商品核销金额-首页信息流,商品核销金额-特价团,商品核销金额-美团联盟,商品核销金额-直播,商品核销金额-团购频道,商品撤销核销券数,商品撤销核销人数,商品撤销核销金额,商品退款券数,商品退款人数,商品退款金额,美团星级,美团口味分,美团服务分,美团性价比分,美团环境分,点评星级,点评口味分,点评服务分,点评食材分,点评环境分,全部评价数,全部好评数,好评率,全部中差评数,新评价数,新好评数,新中差评数,新中差评回复率,成交金额（优惠前）-团购配送,extra_metrics,ros_score,rankings_detail
2024-08-01,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,3649,1216,1944,70,2267,509,913,46,522,322,590,0,149,100,97,0,,,,,23,11,9,0,,,,,102,9,7986,8,45,74,35,18,4478,1105,3372,0,,28,17,11,0,,18,71,23,13,10,0,,61,48,159.92,65.02,306.59,0.0,,194.69,4370,1012,3358,0,,56,47,156.06,59.54,305.23,0.0,,189.98,4335.1,1003,3332.5,0.0,,34.5,10,25.0,0.0,,0,,0,,0,,0.0,,4034,677,3358,80,9,71,17,7,10,50,75,47,59,16,42,0,,1,1,0,0,0,0,2,0,,19,4,4117,253,216.68,63.18,3,0,0,0,914,5024,168,13,0,68,110,814,33,6,0,23,219,22,421,7,4,0,0,1,60,9,131,3,4,0,0,1,,,,,,,23,11,9,0,2,4,0,0,89,50,41,0,2,9,0,0,,,,,,,,,4478,4370,2433,1801,0,36,336,0,0,34.5,,80,46,36,0,3,7,0,0,17,4034,2409,1760,0,54,309,0,0,0,0,0,2,2,59,4.5,4.5,4.4,4.5,4.5,4.2,4.2,4.2,0,4.2,3469,3076,,393,1,1,0,,,,0,
2024-08-02,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,3381,1558,2440,78,1994,646,1180,46,493,292,630,8,156,106,117,3,,,,,18,8,10,1,,,,,115,10,7996,8,49,85,42,26,2869,1777,1092,0,,20,16,4,0,,16,23,18,14,4,0,,111,48,143.46,111.04,273.12,0.0,,159.4,2797,1704,1092,0,,107,48,139.84,106.52,273.12,0.0,,155.38,2789.9,1697,1092.5,0.0,,7.0,7,0.0,0.0,,0,,0,,0,,0.0,,2864,1771,1092,36,13,23,15,11,4,80,136,48,0,0,0,0,,0,0,0,0,0,0,0,0,,11,7,1686,1111,153.23,158.77,0,0,0,0,865,4945,96,15,0,136,131,948,41,3,0,48,218,10,434,2,4,0,0,1,66,8,157,2,3,0,0,1,,,,,,,18,9,10,1,1,1,0,0,39,23,24,1,1,1,0,0,,,,,,,,,2869,2797,1284,1748,269,18,196,0,0,7.0,,36,22,23,1,0,1,0,0,15,2864,1300,1569,269,0,196,0,0,0,0,0,0,0,0,4.5,4.5,4.4,4.5,4.5,4.2,4.2,4.2,0,4.2,3472,3079,,393,3,3,0,,,,0,
2024-08-03,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,3665,1643,2901,58,2064,671,1369,40,574,327,700,1,186,98,126,1,,,,,28,15,20,0,,,,,124,8,8004,11,58,93,48,24,4684,2737,1948,0,,37,26,11,0,,29,41,28,23,9,0,,94,48,126.6,105.26,177.05,0.0,,167.3,4521,2589,1932,0,,89,47,122.19,99.56,175.68,0.0,,161.47,4498.6,2576,1922.5,0.0,,22.5,12,10.0,0.0,,0,,0,,0,,0.0,,4466,2534,1932,66,25,41,24,18,9,68,101,47,24,24,0,0,,3,0,0,0,0,0,3,0,,19,9,3282,1240,172.72,137.72,1,0,0,0,620,6352,128,34,0,121,130,1156,41,7,0,51,287,3,612,1,7,0,0,4,94,3,251,1,6,0,0,3,,,,,,,28,15,20,0,4,2,0,1,70,36,46,0,4,2,0,1,,,,,,,,,4684,4521,1872,3259,0,72,62,0,196,22.5,,66,34,44,0,2,2,0,1,24,4466,1853,3240,0,36,62,0,196,0,0,0,4,3,25,4.5,4.5,4.4,4.5,4.5,4.2,4.2,4.2,0,4.2,3472,3079,,393,0,0,0,,,,0,
2024-08-04,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,3304,1262,2402,44,1762,544,1082,34,617,363,662,10,176,108,122,3,,,,,26,18,15,0,,,,,125,13,8015,16,61,98,51,18,4029,1417,2612,0,,30,17,13,0,,18,55,26,16,13,0,,79,48,134.31,83.34,200.96,0.0,,154.97,3920,1317,2604,0,,73,47,130.68,77.46,200.27,0.0,,150.78,3908.4,1315,2593.5,0.0,,12.0,2,10.0,0.0,,0,,0,,0,,0.0,,3631,1027,2604,68,13,55,24,13,13,53,79,47,54,54,0,0,,2,0,0,0,0,0,1,0,,16,10,2779,1142,173.68,114.15,2,0,0,0,551,5194,132,33,0,163,121,907,38,3,0,48,266,4,515,3,3,0,0,9,73,4,175,2,2,0,0,5,,,,,,,26,18,15,0,0,0,0,1,73,46,40,0,0,0,0,1,,,,,,,,,4029,3920,2820,2376,0,0,0,0,18,12.0,,68,43,39,0,0,0,0,1,24,3631,2535,2374,0,0,0,0,18,0,0,0,4,1,108,4.5,4.5,4.4,4.5,4.5,4.2,4.2,4.2,0,4.2,3473,3080,,393,1,1,0,,,,0,
2024-08-05,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,2260,931,1482,63,1249,396,735,50,478,233,411,8,132,68,81,2,,,,,11,6,6,0,,,,,75,1,8016,0,38,53,26,22,3095,1528,1568,0,,13,10,3,0,,10,33,11,9,2,0,,153,48,238.11,152.79,522.5,0.0,,281.4,3047,1489,1558,0,,149,47,234.4,148.87,519.5,0.0,,277.02,3035.2,1482,1553.5,0.0,,12.0,7,5.0,0.0,,0,,0,,0,,0.0,,3046,1488,1558,42,9,33,10,8,2,73,165,47,282,282,0,0,,2,0,0,0,0,0,2,0,,9,2,2525,522,280.59,260.95,0,0,0,0,774,3454,47,3,0,81,87,655,16,3,0,32,138,21,264,0,3,0,0,2,44,7,110,0,3,0,0,2,,,,,,,11,6,6,0,0,0,0,0,43,38,8,0,0,0,0,0,,,,,,,,,3095,3047,2280,759,0,0,0,0,0,12.0,,42,38,7,0,0,0,0,0,10,3046,2545,758,0,0,0,0,0,0,0,0,3,2,300,4.5,4.5,4.4,4.5,4.5,4.2,4.2,4.2,0,4.2,3474,3081,,393,0,0,0,,,,0,
2024-08-06,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,2963,1122,2002,67,1566,523,874,53,566,294,575,14,155,92,107,3,,,,,10,5,5,0,,,,,99,12,8026,7,48,73,43,21,2721,916,1805,0,,29,7,22,0,,7,38,10,6,5,0,,131,48,93.83,130.86,82.05,0.0,,272.1,2631,883,1748,0,,126,46,90.71,126.1,79.45,0.0,,263.07,2589.7,878,1712.0,0.0,,41.0,5,36.0,0.0,,0,,0,,0,,0.0,,2524,865,1659,42,6,36,9,5,5,60,144,46,132,0,132,0,,0,3,0,0,0,0,3,0,,8,2,2251,380,281.35,189.95,0,0,0,0,842,6689,260,137,0,139,108,804,40,5,0,56,321,30,610,7,24,0,0,9,64,9,183,2,3,0,0,2,,,,,,,10,5,5,0,0,1,0,0,45,15,30,0,0,1,0,0,,,,,,,,,2721,2631,965,1630,0,0,196,0,0,41.0,,42,15,27,0,0,1,0,0,9,2524,965,1523,0,0,196,0,0,0,0,0,4,2,180,4.5,4.5,4.4,4.5,4.5,4.2,4.2,4.2,0,4.2,3474,3081,,393,0,0,0,,,,0,
2024-08-07,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,2655,1018,1734,62,1405,484,848,50,524,335,619,9,148,103,107,3,,,,,18,10,11,0,,,,,105,2,8027,3,53,79,49,20,3357,1267,2090,0,,21,11,10,0,,11,44,18,11,7,0,,115,48,159.84,115.15,209.0,0.0,,186.48,3306,1222,2084,0,,111,47,157.41,111.06,208.4,0.0,,183.65,3291.7,1215,2077.0,0.0,,14.0,7,7.0,0.0,,0,,0,,0,,0.0,,3055,971,2084,52,8,44,15,8,7,59,121,47,282,282,0,0,,2,0,0,0,0,0,2,0,,15,3,2832,474,188.79,157.97,0,0,0,0,1030,4184,67,8,0,89,112,711,29,6,0,33,259,32,421,1,8,0,0,3,71,10,135,1,6,0,0,3,,,,,,,18,10,11,0,0,2,0,0,55,16,34,0,0,3,0,0,,,,,,,,,3357,3306,1162,1953,0,0,330,0,0,14.0,,52,15,32,0,0,3,0,0,15,3055,1178,1951,0,0,330,0,0,0,0,0,2,2,282,4.5,4.5,4.4,4.5,4.5,4.2,4.2,4.2,0,4.2,3474,3081,,393,0,0,0,,,,0,
2024-08-08,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,2550,1047,1684,93,1818,468,842,75,409,238,459,11,147,81,102,5,,,,,18,11,14,0,,,,,98,12,8039,12,40,64,33,16,3524,437,3088,0,,19,6,13,0,,6,65,18,6,12,0,,73,48,185.48,72.78,237.5,0.0,,195.79,3497,416,3082,0,,69,47,184.07,69.32,237.04,0.0,,194.3,3485.4,413,3072.5,0.0,,12.0,3,9.0,0.0,,0,,0,,0,,0.0,,3494,413,3082,68,3,65,15,3,12,51,138,47,18,18,0,0,,1,0,0,0,0,0,1,0,,13,5,2641,856,203.18,171.2,1,0,0,0,596,4197,166,22,0,52,80,695,81,3,0,18,145,6,315,5,2,0,0,2,60,3,133,5,2,0,0,1,,,,,,,18,11,14,0,0,0,0,0,71,46,58,0,0,0,0,0,,,,,,,,,3524,3497,2244,2778,0,0,0,0,0,12.0,,68,44,56,0,0,0,0,0,15,3494,2242,2776,0,0,0,0,0,0,0,0,1,1,18,4.5,4.5,4.4,4.5,4.5,4.2,4.3,4.2,0,4.2,3473,3080,,393,0,0,0,,,,0,
2024-08-09,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,3456,1287,2451,90,2451,603,1174,69,617,344,768,8,173,97,114,5,,,,,20,10,12,0,,,,,109,2,8041,6,57,75,44,32,4449,2359,2090,0,,23,15,8,0,,15,44,20,15,7,0,,157,48,193.43,157.26,261.25,0.0,,222.44,4386,2305,2081,0,,154,47,190.68,153.64,260.12,0.0,,219.28,4358.5,2284,2075.0,0.0,,27.1,21,6.0,0.0,,0,,0,,0,,0.0,,4114,2033,2081,55,11,44,16,11,7,75,185,47,701,701,0,0,,3,0,0,0,0,0,3,0,,14,6,3412,973,243.74,162.22,0,0,0,0,499,5567,187,32,0,132,111,928,51,5,0,41,306,2,553,5,8,0,0,3,75,2,193,5,4,0,0,3,,,,,,,20,10,12,0,1,2,0,1,59,31,17,0,1,2,0,1,,,,,,,,,4449,4386,2341,1796,0,18,392,0,196,27.1,,55,30,16,0,0,2,0,1,16,4114,2323,1778,0,0,392,0,196,0,0,0,5,2,1169,4.5,4.5,4.4,4.5,4.5,4.2,4.3,4.2,0,4.2,3474,3080,,394,1,0,1,,,,0,
2024-08-10,97139048,小钱家·龙虾烧烤·夜宵大排档（虹桥商务区店）,上海,6141,2192,4782,62,3666,1045,2071,56,873,560,1136,4,233,152,169,3,,,,,23,13,13,0,,,,,152,3,8044,3,109,116,46,35,5682,1692,3990,0,,31,18,13,0,,18,84,23,16,11,0,,94,48,183.28,93.99,306.92,0.0,,247.03,5573,1598,3975,0,,89,47,179.78,88.78,305.77,0.0,,242.31,5556.1,1591,3965.0,0.0,,17.0,7,10.0,0.0,,0,,0,,0,,0.0,,5335,1360,3975,101,17,84,23,15,11,53,80,47,35,35,0,0,,3,0,0,0,0,0,3,0,,20,3,4619,954,230.96,318.0,0,0,0,0,1644,10095,65,20,0,150,210,1425,54,12,0,55,423,52,956,3,20,0,0,7,128,17,320,3,12,0,0,6,,,,,,,23,13,13,0,2,0,0,1,102,74,80,0,2,0,0,1,,,,,,,,,5682,5573,3471,3954,0,256,0,0,18,17.0,,101,73,79,0,2,0,0,1,23,5335,3453,3936,0,36,0,0,18,0,0,0,4,3,53,4.5,4.5,4.4,4.5,4.5,4.2,4.3,4.2,0,4.2,3474,3080,,394,1,1,0,,,,0,
