id,raw_id,tag_json,ai_version,processed_at
1,1,"{""topics"": [""酒水"", ""菜品"", ""特色"", ""小胃口""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
2,2,"{""topics"": [""位置"", ""环境"", ""菜品"", ""口味"", ""服务""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
3,3,"{""topics"": [""环境"", ""菜品"", ""服务"", ""特色"", ""装修"", ""氛围"", ""招牌菜"", ""服务细节""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
4,4,"{""topics"": [""特色"", ""菜品"", ""口味""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
5,5,"{""topics"": [""菜品"", ""口味"", ""出名"", ""地方菜""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
6,6,"{""topics"": [""口味"", ""体验""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
7,7,"{""topics"": [""菜品"", ""口味"", ""光盘"", ""体验""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
8,8,"{""topics"": [""菜品"", ""口味"", ""服务""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
9,9,"{""topics"": [""口味"", ""独特"", ""性价比"", ""服务""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
10,10,"{""topics"": [""酒水"", ""口味"", ""食材"", ""适合聚会""], ""severity"": ""低"", ""sentiment"": ""正面"", ""special_flag"": """"}",,2025-05-29 18:03:46
