评价类型,消费者,rating_raw,review_text,store_name,review_date,评价展示平台,商家回应,回应&盖楼内容,rating_label,senti_score,senti_label,key_topics,store_id
门店评价,yeruzhou0225,4.5,很有特色的一家店，菜品丰富，口味好,流杯酒肆·台州Bistro,2025-05-28,点评,否,,好评,0.9389,正面,"[""菜品"", ""口味"", ""特色"", ""一家"", ""丰富""]",1539873707
门店评价,JoyceY,3.5,菜品略少，味道还可以。那个甜虾味道不错的，但是食材过于廉价了。点了2个鸡尾酒都踩雷了，不好喝，略甜了，其中一个是齁甜，那个恋爱脑鸡尾酒。服务不错的,流杯酒肆·台州Bistro,2025-05-28,点评,是,"【2025-05-28 10:23:16】商家:亲爱的顾客，您好！感谢您光临并提供宝贵意见。对于您提到的菜品数量和食材问题，我们深感抱歉。我们会认真考虑您的反馈，努力提升食材质量和酒水的质量。同时，很高兴您对我们的服务感到满意。期待您再次光临，体验我们的改进！
",中评,0.873,正面,"[""鸡尾酒"", ""味道"", ""不错"", ""略少"", ""甜虾""]",1539873707
打卡评价,牙牙,3.5,"台州菜bistro，干嘛现在什么都要挂个bistro[破涕为笑]
画杯子好像是个特色，进门处摆了超级多，好像是有个活动，多长时间内到店有送酒水还是什么的
菜一般，没啥好说的，不难吃 但也真的就是一般。光看名字这个点我是不会选的，没办法朋友指定要吃这个 那就吃吧",流杯酒肆·台州Bistro,2025-05-28,点评,是,"【2025-05-28 10:23:25】商家:亲爱的顾客，您好！感谢您光临我们的台州菜bistro并分享您的体验。对于您提到的菜品一般的问题，我们深感抱歉。我们会认真考虑您的反馈，努力提升菜品质量。希望您能再次光临，体验我们的改进！
",中评,0.0001,负面,"[""bistro"", ""进门处"", ""内到"", ""光看"", ""好像""]",1539873707
门店评价,骆嫣然,5.0,豆面口味很不错 辣酒煮花螺稍微有点辣 红薯年糕也挺好吃的 整体还不错,流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-28 01:25:41】商家:亲爱的顾客，感谢您的好评！😊 很高兴您喜欢我们的豆面和红薯年糕，辣酒煮花螺稍微有点辣，我们会注意调整辣度，争取让每位顾客都满意。期待您下次再来品尝更多美味哦！🍲
",好评,0.9989,正面,"[""挺好吃"", ""不错"", ""辣酒"", ""花螺"", ""豆面""]",1539873707
团购评价,术之几,5.0,餐厅环境真的很有格调，推荐菜品也不错，体验感觉非常棒，服务也很到位,流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-28 01:25:48】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的餐厅环境和推荐菜品，也感谢您对我们服务的认可。我们会继续保持这份用心和热情，期待有机会再度为您服务！
",好评,0.9994,正面,"[""菜品"", ""格调"", ""餐厅"", ""体验"", ""到位""]",1539873707
门店评价,憨憨,5.0,氛围温馨，调酒师技艺精湛，小吃惊艳，服务贴心，值得常驻小酌！,流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 22:06:21】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的氛围和调酒师的手艺，也感谢您对我们小吃的赞美。我们将继续保持高质量的服务和菜品，期待您再次光临，享受更多美味时光！
",好评,0.9989,正面,"[""调酒师"", ""小酌"", ""惊艳"", ""贴心"", ""小吃""]",1539873707
打卡评价,某鱼mouyu,5.0,氛围很好，环境不错，适合朋友小聚,流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 22:06:28】商家:亲爱的顾客，您好！感谢您对我们餐厅的好评！很高兴您喜欢我们的氛围和环境，并认为适合朋友小聚。我们会继续保持，期待您和朋友们再次光临！
",好评,0.98,正面,"[""小聚"", ""氛围"", ""适合"", ""不错"", ""朋友""]",1539873707
打卡评价,罗小咯elo,5.0,同事聚餐首选，口味很棒，力推。,流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 22:06:41】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！得知您和同事聚餐时选择了我们，并且对我们的口味感到满意，我们非常荣幸。我们将继续保持高质量的菜品，期待再次为您提供美好的用餐体验！
",好评,0.9985,正面,"[""很棒"", ""聚餐"", ""力推"", ""口味"", ""首选""]",1539873707
买单评价,腿毛长到拉起丝儿来,4.0,"来过几次 但菜品略有退步啊 总体菜量也变少了

环境真的还不错

「沙蒜海参豆面」现在边蛏子了 蛏子并不肥 还有点不新鲜 量变少了
「台州炒麻糍」好吃的 必点
「芝士红薯烤年糕」糯糯叽叽
「葱油山东小管」推荐的
「猪油渣菜尖」非常软糯

一般
「小土豆烧仔排」
「本帮低温虾」
「雪绒鹅肝吐司」
「黑松露鹅肝家烧焖饭」",流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 22:07:02】商家:亲爱的顾客，您好！感谢您多次光临我们餐厅并分享您的宝贵意见。很高兴您喜欢我们的台州炒麻糍和芝士红薯烤年糕。对于您提到的菜品退步和量变少的问题，我们会认真改进。期待您再次光临，体验我们的改进！
",好评,0.0,负面,"[""蛏子"", ""小土豆"", ""吐司"", ""芝士"", ""菜量""]",1539873707
打卡评价,匿名用户,5.0,服务态度好 菜品味道不错 就很好喝 推荐,流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 22:07:09】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您对我们的服务态度和菜品味道感到满意。您的推荐对我们意义重大。我们将继续保持高品质，期待再次为您服务！
",好评,0.903,正面,"[""服务态度"", ""好喝"", ""菜品"", ""味道"", ""不错""]",1539873707
