门店ID,门店名称,推广门店,门店所在城市,美团门店ID,运营师
422084,青鹤谷（虹莘路总店）,青鹤谷（虹莘路总店）,上海,422084,pan
58423175,小钱家(虹桥商务区店),小钱家(虹桥商务区店),上海,97139048,pan
123589575,三德韩国料理,三德韩国料理,上海,186224259,pan
710057942,江小肴·鲜辣江西菜（会展中骏广场店）,江小肴（中骏店）,上海,710057942,pan
749359246,小钱家(浦江店),小钱家(浦江店),上海,749359246,pan
786758028,青鹤谷（五角场店）,青鹤谷（五角场店）,上海,786758028,pan
813513182,小钱家(华漕店),小钱家(华漕店),上海,813513182,pan
885687804,小钱家（紫苑路店）,小钱家鱼火锅（紫苑路店）,上海,885687804,pan
1001532390,小钱家（江桥店）,小钱家（江桥店）,上海,1001532390,pan
1038164301,青鹤谷（天山店）,青鹤谷（天山店）,上海,1038164301,pan
