表名,字段名,类型,是否可为空,默认值,字段说明
cpc_data,date,date,YES,,
cpc_data,start_time,datetime,YES,,
cpc_data,time_slot,varchar(50),YES,,
cpc_data,cost,float,YES,,
cpc_data,impressions,int,YES,,
cpc_data,clicks,int,YES,,
cpc_data,avg_cpc,float,YES,,
cpc_data,view_images,int,YES,,
cpc_data,view_reviews,int,YES,,
cpc_data,view_address,int,YES,,
cpc_data,favorites,int,YES,,
cpc_data,shares,int,YES,,
cpc_data,orders,int,YES,,
cpc_data,merchant_views,int,YES,,
cpc_data,interests,int,YES,,
cpc_data,store_name,varchar(255),YES,,
cpc_data,store_id,varchar(50),YES,,
cpc_hourly_data,date,date,YES,,
cpc_hourly_data,time_slot,varchar(50),YES,,
cpc_hourly_data,cost,float,YES,,
cpc_hourly_data,impressions,int,YES,,
cpc_hourly_data,clicks,int,YES,,
cpc_hourly_data,avg_cpc,float,YES,,
cpc_hourly_data,view_images,int,YES,,
cpc_hourly_data,view_reviews,int,YES,,
cpc_hourly_data,view_address,int,YES,,
cpc_hourly_data,favorites,int,YES,,
cpc_hourly_data,shares,int,YES,,
cpc_hourly_data,orders,int,YES,,
cpc_hourly_data,merchant_views,int,YES,,
cpc_hourly_data,interests,int,YES,,
cpc_hourly_data,view_groupbuy,int,YES,,
cpc_hourly_data,store_name,text,YES,,
cpc_hourly_data,store_id,double,YES,,
cpc_hourly_data,start_time,datetime,YES,,
cpc_hourly_data,cash_spent,float,YES,,
cpc_hourly_data,view_phone,int,YES,,
cpc_hourly_data,view_recommended_dishes,int,YES,,
cpc_hourly_data,promo_claims,int,YES,,
cpc_hourly_data,group_orders,int,YES,,
cpc_hourly_data,flash_orders,int,YES,,
cpc_hourly_data,promotion_name,varchar(255),YES,,推广名称
cpc_hourly_data,platform,varchar(50),YES,,平台（美团/点评）
cpc_hourly_data,plan_key,varchar(255),YES,,唯一计划ID（门店ID_推广名称_平台）
cpc_hourly_data,store_city,varchar(100),YES,,门店所在城市
operation_data,日期,date,YES,,
operation_data,美团门店ID,int,YES,,
operation_data,门店名称,varchar(255),YES,,
operation_data,城市,varchar(255),YES,,
operation_data,曝光次数,int,YES,,
operation_data,曝光次数-搜索,int,YES,,
operation_data,曝光次数-美食频道,int,YES,,
operation_data,曝光次数-首页信息流,int,YES,,
operation_data,曝光人数,int,YES,,
operation_data,曝光人数-搜索,int,YES,,
operation_data,曝光人数-美食频道,int,YES,,
operation_data,曝光人数-首页信息流,int,YES,,
operation_data,访问次数,int,YES,,
operation_data,访问次数-搜索,int,YES,,
operation_data,访问次数-美食频道,int,YES,,
operation_data,访问次数-首页信息流,int,YES,,
operation_data,访问人数,int,YES,,
operation_data,访问人数-搜索,int,YES,,
operation_data,访问人数-美食频道,int,YES,,
operation_data,访问人数-首页信息流,int,YES,,
operation_data,曝光-访问转化率,float,YES,,
